186 / 193 (96.4%) tors ids covered:
t1    4574
t2     785
t3    5088
t4    5447
t5      35
t6      39
t7      18
t8       6
t9     921
t10    217
t11     68
t12     28
t13    326
t14    561
t15   3124
t16   3164
t17   3444
t18    989
t19    628
t20    660
t21     87
t22     55
t23    158
t24    138
t25     27
t26     42
t27    261
t28     22
t29     45
t30      6
t31     43
t32     50
t33     21
t34     38
t35    152
t36     82
t37     28
t38     42
t39     72
t40     92
t41     74
t42    124
t43    760
t44  14152
t45   2104
t46     96
t47   1158
t48     90
t49     36
t50    600
t51   2643
t52     26
t53     22
t54     15
t55     51
t56     32
t57     22
t58    408
t59     70
t60    140
t61     38
t62     76
t63     54
t64   2634
t65     54
t66    113
t67    289
t68     11
t69     70
t70     49
t71    131
t72     54
t73    420
t73a    13
t74    460
t74a    22
t75   1099
t76    113
t77    221
t78    143
t79    112
t80   1238
t81     64
t82    172
t82a    21
t83    185
t83a    53
t84    506
t85    278
t86    787
t87    124
t88      6
t89      1
t90     72
t91     13
t92     23
t93    170
t94     90
t95   1367
t96    162
t97    140
t98     40
t99     14
t100    12
t101     3
t102     6
t103     8
t104    47
t105   311
t106   129
t107    81
t108    75
t109    58
t110    50
t111   340
t112     8
t113    18
t114   180
t115   347
t116    79
t116a  209
t116b    0
t116c    0
t117   206
t118  1573
t118a   37
t119   214
t120    57
t121   432
t121a   92
t122a   10
t122b   20
t122c   42
t122d    8
t122e   24
t122f    4
t123   126
t124    54
t125     9
t126     3
t127   111
t128    14
t129    47
t130b   48
t131    64
t132b   39
t133     0
t133a   12
t134    44
t135    32
t136    56
t137    19
t138   248
t139    21
t140    92
t141    14
t142a   23
t142b   20
t142c   48
t142d    0
t142e    0
t142f    0
t143a   35
t143b  169
t143c    0
t143d    5
t143e   10
t143f    6
t144    52
t145    23
t146    51
t147    34
t148   155
t149   179
t150    10
t151    19
t152    73
t153    25
t154    72
t155     9
t156    32
t157    72
t157a   62
t158     5
t159   162
t160    84
t161   129
t162    52
t163    16
t164    15
t165    13
t166   195
t167    41

missing ids:
    0  t116b   [*:1]-[#16X3+1:2]-[#6X3:3]-[#1:4]
    1  t116c   [*:1]-[#16X3+1:2]-[#6X4:3]-[#1:4]
    2   t133   [#6X4:1]-[#7X4:2]-[#7X4:3]-[#6X4:4]
    3  t142d   [*:1]-[#16X3+1:2]-[!#6;X2:3]~[*:4]
    4  t142e   [*:1]-[#16X3+1:2]-[!#6;X3:3]~[*:4]
    5  t142f   [*:1]-[#16X3+1:2]-[!#6;X4:3]~[*:4]
    6  t143c   [*:1]~[#16X4:2]-[#7X4:3]~[*:4]
